order_id,predicted_cycle_time_min,wip_level,demand_urgency,quality_status,pull_decision
O100000,18.95,2,High,Pass,Full Pull
O100001,41.87,10,Medium,Rework,Partial Pull
O100002,61.26,22,Medium,Pass,Partial Pull
O100003,37.74,13,Medium,Pass,Partial Pull
O100004,24.56,5,Medium,Pass,Partial Pull
O100005,68.09,30,Low,Pass,No Pull
O100006,24.95,6,High,Pass,Full Pull
O100007,22.98,2,Medium,Pass,Partial Pull
O100008,25.92,11,Medium,Pass,Partial Pull
O100009,23.15,3,High,Pass,Full Pull
O100010,38.98,18,Medium,Rework,Partial Pull
O100011,48.3,13,Medium,Fail,No Pull
O100012,57.4,28,Low,Pass,No Pull
O100013,17.24,5,Medium,Pass,Partial Pull
O100014,49.97,8,High,Pass,Partial Pull
O100015,49.16,21,Medium,Pass,Partial Pull
O100016,21.67,21,Low,Pass,No Pull
O100017,42.67,11,Medium,Pass,Partial Pull
O100018,52.58,28,Medium,Pass,Partial Pull
O100019,76.0,26,Low,Pass,No Pull
O100020,23.24,18,Medium,Pass,Partial Pull
O100021,44.12,23,Low,Pass,No Pull
O100022,38.35,16,Medium,Pass,Partial Pull
O100023,43.34,14,Medium,Pass,Partial Pull
O100024,34.57,16,Medium,Pass,Partial Pull
O100025,66.36,26,Low,Pass,No Pull
O100026,38.65,0,High,Pass,Full Pull
O100027,5.82,3,Medium,Pass,Partial Pull
O100028,48.03,14,Medium,Pass,Partial Pull
O100029,30.98,18,Medium,Pass,Partial Pull
O100030,27.13,5,High,Pass,Full Pull
O100031,55.03,18,Medium,Fail,No Pull
O100032,12.22,0,High,Fail,No Pull
O100033,30.34,7,High,Pass,Full Pull
O100034,43.55,14,Medium,Fail,No Pull
O100035,25.98,1,High,Pass,Full Pull
O100036,60.85,19,Medium,Pass,Partial Pull
O100037,42.11,16,Medium,Pass,Partial Pull
O100038,29.21,17,Medium,Pass,Partial Pull
O100039,31.73,15,Medium,Pass,Partial Pull
O100040,50.65,21,Medium,Pass,Partial Pull
O100041,57.8,20,Medium,Pass,Partial Pull
O100042,38.28,20,Medium,Pass,Partial Pull
O100043,24.68,6,High,Pass,Full Pull
O100044,51.48,21,Medium,Pass,Partial Pull
O100045,33.09,5,High,Pass,Full Pull
O100046,16.25,0,High,Rework,Full Pull
O100047,48.0,30,Low,Pass,No Pull
O100048,44.36,5,High,Pass,Full Pull
O100049,29.59,3,Medium,Rework,Partial Pull
O100050,32.39,9,Medium,Pass,Partial Pull
O100051,63.48,30,Low,Pass,No Pull
O100052,47.5,26,Low,Pass,No Pull
O100053,42.64,22,Low,Pass,No Pull
O100054,37.28,5,High,Pass,Full Pull
O100055,41.56,19,Medium,Pass,Partial Pull
O100056,50.9,25,Low,Pass,No Pull
O100057,38.69,10,Medium,Pass,Partial Pull
O100058,35.41,8,Medium,Pass,Partial Pull
O100059,64.26,26,Low,Fail,No Pull
O100060,28.22,4,High,Pass,Full Pull
O100061,53.01,28,Medium,Pass,Partial Pull
O100062,39.94,14,Medium,Rework,Partial Pull
O100063,31.03,22,Low,Pass,No Pull
O100064,21.93,11,Medium,Pass,Partial Pull
O100065,52.39,22,Medium,Pass,Partial Pull
O100066,62.16,28,Medium,Pass,Partial Pull
O100067,43.6,15,Medium,Pass,Partial Pull
O100068,16.76,6,Medium,Pass,Partial Pull
O100069,15.83,2,High,Pass,Full Pull
O100070,35.47,28,Low,Pass,No Pull
O100071,70.5,30,Medium,Pass,Partial Pull
O100072,51.89,20,Medium,Fail,No Pull
O100073,13.58,0,High,Pass,Full Pull
O100074,52.19,27,Medium,Pass,Partial Pull
O100075,35.89,15,Medium,Pass,Partial Pull
O100076,32.0,7,High,Pass,Full Pull
