order_id,workstation_id,product_type,batch_size,wip_level,machine_utilization_pct,operator_skill,setup_condition,machine_condition,setup_time_min,processing_time_min,queue_delay_min,breakdown_event,breakdown_delay_min,cycle_time_min
O100000,WS5,Custom,18,2,81.1,5,Normal,Degraded,7.15,8.41,2.94,0,0.0,19.24
O100001,WS5,Premium,96,10,77.0,4,Good,Degraded,2.95,32.5,9.96,0,0.0,43.18
O100002,WS4,Standard,57,22,69.5,2,Poor,Healthy,8.9,17.48,31.68,0,0.0,60.04
O100003,WS3,Standard,100,13,82.4,5,Normal,Healthy,5.27,20.88,12.46,0,0.0,40.08
O100004,WS1,Custom,47,5,78.8,5,Good,Healthy,4.49,10.57,6.89,0,0.0,23.89
O100005,WS4,Standard,85,30,62.8,1,Poor,Healthy,11.23,26.52,34.26,0,0.0,69.15
O100006,WS1,Standard,40,6,93.2,1,Normal,Healthy,7.41,10.68,3.85,0,0.0,21.01
O100007,WS4,Standard,50,2,69.1,2,Normal,Critical,6.96,19.55,2.5,0,0.0,26.5
O100008,WS4,Standard,41,11,63.1,4,Good,Healthy,3.8,9.33,12.84,0,0.0,27.93
O100009,WS4,Standard,59,3,72.9,3,Normal,Healthy,7.8,15.43,2.63,0,0.0,24.53
O100010,WS5,Standard,30,18,69.3,3,Good,Degraded,6.3,13.18,22.73,0,0.0,37.77
O100011,WS3,Standard,55,13,76.9,3,Poor,Healthy,12.38,16.67,17.54,0,0.0,48.77
O100012,WS3,Standard,86,28,65.1,3,Normal,Healthy,8.54,18.94,22.24,0,0.0,51.15
O100013,WS1,Standard,24,5,85.4,4,Normal,Healthy,7.95,6.28,6.71,0,0.0,19.24
O100014,WS2,Premium,82,8,96.6,1,Good,Critical,4.99,29.49,11.95,0,0.0,47.02
O100015,WS1,Standard,87,21,81.3,3,Good,Healthy,4.25,13.73,31.45,0,0.0,50.2
O100016,WS1,Premium,13,21,62.7,2,Normal,Healthy,5.99,3.72,14.17,0,0.0,22.61
O100017,WS3,Premium,71,11,69.0,4,Good,Degraded,4.44,20.67,17.17,0,0.0,45.39
O100018,WS3,Standard,54,28,82.7,1,Normal,Healthy,9.28,15.62,24.08,0,0.0,50.43
O100019,WS6,Premium,68,26,56.4,1,Normal,Degraded,6.22,31.46,34.76,1,4.42,75.3
O100020,WS1,Standard,36,18,65.2,3,Normal,Healthy,3.54,8.78,18.5,0,0.0,29.28
O100021,WS1,Standard,30,23,60.2,3,Good,Healthy,3.34,5.26,34.02,0,0.0,42.36
O100022,WS5,Custom,36,16,81.4,3,Poor,Healthy,11.71,12.31,15.08,0,0.0,38.01
O100023,WS1,Standard,23,14,99.0,5,Poor,Critical,9.31,9.68,21.55,0,0.0,40.79
O100024,WS4,Standard,46,16,64.9,4,Normal,Healthy,7.48,11.47,17.98,0,0.0,35.47
O100025,WS5,Premium,89,26,89.8,2,Good,Healthy,4.46,29.79,29.44,0,0.0,64.82
O100026,WS4,Premium,80,0,73.2,4,Normal,Degraded,9.66,28.45,0.0,0,0.0,38.01
O100027,WS2,Standard,26,3,64.2,3,Good,Healthy,1.08,5.15,2.8,0,0.0,7.77
O100028,WS1,Custom,60,14,98.8,2,Good,Degraded,3.42,16.36,20.64,1,5.09,47.13
O100029,WS6,Custom,16,18,99.0,1,Normal,Degraded,6.33,12.33,13.61,0,0.0,31.89
O100030,WS6,Standard,15,5,84.9,1,Normal,Healthy,9.33,8.58,5.95,0,0.0,25.92
O100031,WS5,Standard,66,18,84.4,2,Poor,Degraded,10.57,29.15,20.32,0,0.0,58.39
O100032,WS2,Custom,37,0,80.7,5,Good,Degraded,3.06,7.91,0.0,0,0.0,13.33
O100033,WS3,Standard,74,7,78.2,3,Good,Healthy,2.54,16.59,8.34,0,0.0,27.38
O100034,WS5,Custom,24,14,84.1,3,Normal,Critical,6.66,14.46,13.97,1,5.76,41.13
O100035,WS1,Standard,20,1,88.1,2,Good,Critical,4.13,8.46,1.02,1,12.1,27.59
O100036,WS6,Custom,75,19,99.0,2,Good,Degraded,4.93,33.22,28.4,0,0.0,63.07
O100037,WS6,Standard,28,16,73.7,4,Normal,Healthy,8.1,10.75,19.3,0,0.0,40.44
O100038,WS1,Standard,15,17,81.5,1,Good,Healthy,3.34,3.5,22.38,0,0.0,32.98
O100039,WS2,Custom,81,15,78.9,4,Normal,Healthy,6.61,16.14,13.58,0,0.0,33.1
O100040,WS3,Standard,74,21,92.3,5,Good,Healthy,3.34,17.99,29.32,0,0.0,51.93
O100041,WS3,Custom,94,20,99.0,5,Normal,Healthy,6.39,23.36,30.68,0,0.0,57.97
O100042,WS3,Standard,64,20,92.7,2,Normal,Healthy,5.42,15.8,16.97,0,0.0,38.18
O100043,WS4,Standard,53,6,89.6,5,Good,Degraded,5.87,14.46,4.79,0,0.0,25.82
O100044,WS3,Premium,71,21,90.9,2,Normal,Healthy,9.21,21.94,15.88,0,0.0,48.22
O100045,WS2,Standard,82,5,95.2,2,Normal,Healthy,7.76,19.26,5.9,0,0.0,32.14
O100046,WS2,Standard,67,0,99.0,2,Good,Healthy,3.08,17.31,0.0,0,0.0,18.5
O100047,WS3,Standard,39,30,59.8,1,Good,Healthy,3.62,9.99,28.74,0,0.0,45.2
O100048,WS3,Standard,90,5,87.2,2,Normal,Critical,8.38,30.83,7.25,0,0.0,42.39
O100049,WS6,Premium,73,3,49.0,5,Good,Degraded,3.31,24.87,2.11,0,0.0,30.06
O100050,WS1,Standard,89,9,91.4,4,Good,Healthy,3.96,16.29,8.4,0,0.0,29.08
O100051,WS5,Standard,60,30,86.6,2,Good,Healthy,5.36,20.77,39.99,0,0.0,66.81
O100052,WS2,Standard,50,26,73.4,2,Normal,Degraded,9.8,15.2,18.67,0,0.0,46.82
O100053,WS5,Standard,86,22,48.0,2,Normal,Healthy,7.02,25.08,13.68,0,0.0,43.2
O100054,WS2,Custom,65,5,79.8,1,Normal,Degraded,8.11,20.19,5.89,0,0.0,33.77
O100055,WS3,Standard,80,19,82.7,1,Normal,Healthy,6.69,18.69,16.45,0,0.0,41.05
O100056,WS3,Standard,90,25,79.2,5,Normal,Healthy,6.58,18.55,22.17,0,0.0,47.25
O100057,WS5,Standard,35,10,72.5,4,Normal,Healthy,8.48,13.01,13.12,0,0.0,35.76
O100058,WS1,Standard,27,8,69.2,4,Good,Degraded,5.23,6.36,11.2,1,6.95,34.85
O100059,WS3,Premium,23,26,79.4,2,Good,Critical,4.34,11.21,39.93,1,7.8,64.77
O100060,WS4,Custom,64,4,70.4,5,Normal,Degraded,6.72,19.19,3.68,0,0.0,31.78
O100061,WS4,Standard,83,28,89.7,1,Normal,Healthy,9.82,25.72,16.89,0,0.0,54.21
O100062,WS1,Standard,98,14,79.1,5,Normal,Degraded,5.41,20.95,10.94,0,0.0,40.08
O100063,WS1,Standard,12,22,59.3,3,Normal,Healthy,7.21,3.5,23.32,0,0.0,31.33
O100064,WS5,Standard,10,11,82.1,2,Normal,Healthy,5.33,4.94,9.11,0,0.0,20.41
O100065,WS3,Standard,71,22,85.0,4,Normal,Degraded,7.23,21.54,26.3,0,0.0,52.21
O100066,WS1,Premium,34,28,99.0,3,Normal,Healthy,6.62,11.12,37.1,0,0.0,58.52
O100067,WS2,Custom,53,15,91.1,2,Good,Critical,3.63,16.5,23.63,0,0.0,44.4
O100068,WS4,Standard,17,6,69.2,4,Good,Healthy,3.52,6.46,6.67,0,0.0,17.07
O100069,WS6,Standard,16,2,97.1,4,Good,Healthy,3.92,8.1,2.09,0,0.0,14.92
O100070,WS5,Custom,58,28,63.4,4,Good,Healthy,2.99,17.05,20.36,0,0.0,37.26
O100071,WS5,Standard,72,30,80.3,3,Good,Degraded,4.16,22.39,44.6,0,0.0,67.01
O100072,WS4,Standard,90,20,89.0,2,Poor,Healthy,11.73,27.33,15.62,0,0.0,54.05
O100073,WS3,Standard,53,0,97.5,3,Good,Degraded,3.42,12.28,0.0,0,0.0,14.42
O100074,WS6,Premium,68,27,99.0,5,Good,Healthy,3.97,24.07,22.09,0,0.0,49.63
O100075,WS1,Standard,88,15,95.3,2,Good,Degraded,3.37,16.63,20.49,0,0.0,39.6
O100076,WS5,Custom,49,7,78.4,5,Good,Healthy,5.41,14.57,9.36,0,0.0,29.92
O100077,WS2,Premium,28,11,87.0,1,Normal,Healthy,8.03,10.3,7.28,0,0.0,26.39
O100078,WS4,Standard,85,29,82.7,1,Normal,Degraded,4.37,26.13,19.08,0,0.0,50.41
O100079,WS6,Premium,10,24,71.5,2,Normal,Degraded,6.06,8.98,34.78,0,0.0,49.31
O100080,WS5,Standard,35,18,78.6,1,Normal,Healthy,5.39,15.88,23.41,0,0.0,46.0
O100081,WS6,Custom,21,22,99.0,5,Good,Healthy,4.95,9.96,24.28,0,0.0,37.48
O100082,WS5,Standard,68,26,87.8,2,Normal,Healthy,8.47,23.1,23.83,0,0.0,58.48
O100083,WS3,Standard,34,19,99.0,1,Good,Critical,6.1,12.55,15.89,0,0.0,34.88
O100084,WS3,Custom,41,9,67.0,4,Good,Degraded,3.51,12.5,5.57,1,11.29,31.67
O100085,WS3,Custom,69,2,75.4,5,Good,Degraded,2.84,16.46,2.93,0,0.0,22.65
O100086,WS2,Standard,36,3,85.0,5,Normal,Degraded,5.75,8.36,3.97,0,0.0,16.36
O100087,WS3,Standard,43,7,88.9,1,Normal,Degraded,5.26,13.8,5.12,0,0.0,22.39
O100088,WS1,Standard,55,23,78.6,4,Good,Healthy,4.56,9.98,27.96,0,0.0,42.95
O100089,WS6,Premium,20,2,89.6,2,Normal,Healthy,7.1,11.45,1.41,0,0.0,18.4
O100090,WS5,Custom,95,3,89.5,5,Good,Degraded,2.62,30.12,2.52,0,0.0,37.98
O100091,WS1,Standard,99,30,63.3,4,Normal,Healthy,5.14,14.76,45.15,0,0.0,63.46
O100092,WS4,Standard,74,12,89.0,4,Good,Healthy,5.73,18.5,15.74,0,0.0,41.23
O100093,WS5,Premium,19,3,92.9,5,Good,Healthy,4.69,7.58,2.4,0,0.0,13.21
O100094,WS6,Custom,52,27,83.6,5,Good,Degraded,3.68,21.04,26.3,0,0.0,52.53
O100095,WS2,Custom,42,29,57.9,1,Normal,Degraded,6.04,12.61,40.94,0,0.0,60.92
O100096,WS4,Custom,25,15,76.7,4,Good,Healthy,4.31,6.23,17.12,0,0.0,23.73
O100097,WS2,Standard,89,3,85.3,1,Good,Critical,3.01,24.61,2.24,0,0.0,31.36
O100098,WS5,Standard,47,19,69.6,5,Good,Healthy,4.28,13.85,18.19,0,0.0,37.09
O100099,WS6,Standard,69,26,91.0,4,Poor,Healthy,10.87,28.45,39.76,0,0.0,79.77
O100100,WS1,Standard,72,29,88.8,1,Poor,Critical,8.72,22.82,23.2,0,0.0,54.71
O100101,WS2,Custom,39,17,81.6,2,Normal,Degraded,5.38,12.09,17.24,0,0.0,34.2
O100102,WS1,Custom,41,29,80.2,5,Good,Critical,2.93,11.19,25.46,0,0.0,35.76
O100103,WS3,Premium,98,25,82.3,4,Poor,Degraded,6.52,34.77,35.34,0,0.0,76.43
O100104,WS1,Standard,85,5,80.0,2,Normal,Degraded,6.77,19.56,6.9,0,0.0,33.06
O100105,WS5,Custom,55,19,64.6,5,Normal,Healthy,6.16,15.54,21.7,0,0.0,42.92
O100106,WS3,Premium,58,20,74.8,4,Good,Healthy,4.79,15.7,12.85,0,0.0,31.5
O100107,WS4,Standard,10,23,80.9,1,Good,Critical,2.6,7.49,29.42,0,0.0,41.68
O100108,WS5,Standard,28,16,97.0,2,Good,Degraded,3.13,12.93,18.33,0,0.0,34.86
O100109,WS5,Premium,10,22,88.3,5,Poor,Healthy,7.19,5.46,24.61,0,0.0,36.33
O100110,WS2,Standard,83,18,97.7,2,Normal,Healthy,6.29,20.48,17.08,0,0.0,40.77
O100111,WS5,Custom,95,8,63.1,1,Good,Healthy,3.44,26.96,6.27,0,0.0,35.1
O100112,WS4,Standard,24,15,75.7,4,Good,Healthy,4.77,7.21,9.24,0,0.0,20.55
O100113,WS2,Standard,35,28,99.0,5,Normal,Degraded,7.74,11.82,31.48,0,0.0,53.13
O100114,WS1,Premium,42,26,71.1,3,Good,Healthy,4.72,9.57,16.39,0,0.0,30.66
O100115,WS5,Standard,83,19,70.8,5,Poor,Healthy,13.73,25.49,24.42,0,0.0,62.92
O100116,WS1,Standard,47,9,76.7,1,Normal,Critical,7.19,15.69,6.41,0,0.0,30.4
O100117,WS1,Standard,13,6,99.0,4,Normal,Healthy,6.17,3.5,8.85,0,0.0,19.74
O100118,WS3,Standard,63,8,71.9,4,Good,Healthy,4.68,12.43,7.08,0,0.0,24.27
O100119,WS6,Standard,23,9,86.7,5,Normal,Healthy,10.09,10.35,6.17,0,0.0,28.0
O100120,WS5,Custom,68,29,84.7,3,Normal,Healthy,7.28,25.02,35.44,0,0.0,68.9
O100121,WS5,Standard,87,16,56.9,5,Normal,Healthy,7.33,18.87,20.89,0,0.0,48.56
O100122,WS2,Standard,16,12,79.8,1,Good,Healthy,4.05,5.9,8.42,0,0.0,18.33
O100123,WS5,Standard,100,27,73.4,1,Good,Healthy,3.99,26.86,22.66,0,0.0,51.99
O100124,WS3,Custom,70,11,88.1,4,Good,Healthy,3.85,16.55,9.68,0,0.0,29.5
O100125,WS6,Standard,14,24,99.0,1,Normal,Healthy,7.49,7.39,29.47,0,0.0,45.68
O100126,WS4,Premium,30,19,75.9,5,Good,Healthy,3.03,10.96,17.16,0,0.0,33.69
O100127,WS4,Premium,25,9,75.9,1,Good,Critical,3.96,14.21,6.95,0,0.0,26.74
O100128,WS6,Standard,90,29,99.0,4,Good,Healthy,5.31,26.34,45.47,0,0.0,77.03
O100129,WS6,Standard,75,21,71.5,3,Normal,Healthy,6.54,24.71,19.64,0,0.0,52.56
O100130,WS1,Custom,43,30,63.9,4,Good,Degraded,3.83,11.61,19.37,0,0.0,33.63
O100131,WS2,Standard,58,0,96.5,4,Poor,Healthy,14.65,16.82,0.0,0,0.0,33.6
O100132,WS4,Custom,41,8,79.4,3,Normal,Healthy,6.9,11.8,6.82,0,0.0,28.55
O100133,WS1,Premium,46,10,83.4,3,Good,Degraded,5.48,13.23,8.78,0,0.0,29.29
O100134,WS2,Custom,68,20,99.0,3,Normal,Healthy,5.6,16.12,22.49,0,0.0,42.35
O100135,WS2,Standard,27,26,63.2,4,Good,Healthy,5.64,6.6,17.05,0,0.0,27.55
O100136,WS4,Standard,79,3,77.7,4,Poor,Degraded,7.86,25.85,3.09,0,0.0,38.61
O100137,WS4,Standard,96,4,65.2,3,Normal,Degraded,5.64,26.95,5.34,0,0.0,38.87
O100138,WS2,Standard,98,20,84.0,2,Normal,Healthy,7.43,20.15,25.23,0,0.0,51.44
O100139,WS4,Custom,25,10,73.4,1,Good,Healthy,4.27,7.85,14.33,0,0.0,25.29
O100140,WS3,Standard,47,21,65.9,4,Normal,Healthy,5.3,12.15,13.49,0,0.0,31.86
O100141,WS6,Custom,34,0,88.8,2,Normal,Degraded,4.95,18.69,0.0,0,0.0,21.95
